event_id,name,type,date,time,location,city,desc,image,created_at
1001,Durga Saptashati,Jagran,2025-09-07,10:30,"Radha Krishna Mandir, Sector 28",Ahmedabad,All-night Jagran with langar,noimage.jpg,2025-07-15 07:38:55
1002,Shivratri Pooja,Pooja,2025-08-09,05:30,"Hanuman Mandir, Sector 33",Chennai,Special spiritual event with prasad,bhajan.jpg,2025-07-15 07:38:55
1003,Sunderkand Path,Bhajan,2025-08-21,19:15,"Shiv Mandir, Sector 39",Pune,Morning pooja followed by community lunch,shivratri.jpg,2025-07-15 07:38:55
1004,Kirtan Mela,Pooja,2025-09-03,20:00,"Vaishno Devi Mandir, Sector 37",Delhi,All-night Jagran with langar,ramayan.jpg,2025-07-15 07:38:55
1005,Shivratri Pooja,Jagran,2025-08-21,11:00,"Durga Mandir, Sector 21",Varanasi,All-night Jagran with langar,sunderkand.jpg,2025-07-15 07:38:55
1006,Lakshmi Poojan,Satsang,2025-09-19,10:30,"ISKCON Temple, Sector 2",Jaipur,Special spiritual event with prasad,noimage.jpg,2025-07-15 07:38:55
1007,Navratri Bhajan,Pooja,2025-08-12,08:00,"Kalka Mandir, Sector 1",Varanasi,All-night Jagran with langar,bhajan.jpg,2025-07-15 07:38:55
1008,Lakshmi Poojan,Jagran,2025-09-11,14:30,"Radha Krishna Mandir, Sector 26",Delhi,Special spiritual event with prasad,ramayan.jpg,2025-07-15 07:38:55
1009,Satsang Sabha,Bhajan,2025-10-19,14:30,"Vaishno Devi Mandir, Sector 15",Pune,Special spiritual event with prasad,matachowki.jpg,2025-07-15 07:38:55
1010,Hanuman Jayanti,Pooja,2025-10-22,17:15,"Durga Mandir, Sector 16",Bangalore,Live bhajan by local artists,matachowki.jpg,2025-07-15 07:38:55
1011,Ramayan Paath,Bhajan,2025-10-24,09:45,"ISKCON Temple, Sector 38",Lucknow,Path and kirtan with spiritual leaders,janmashtami.jpg,2025-07-15 07:38:55
1012,Radha Ashtami,Jagran,2025-10-25,07:30,"Vaishno Devi Mandir, Sector 23",Pune,Morning pooja followed by community lunch,shivratri.jpg,2025-07-15 07:38:55
1013,Shivratri Pooja,Pooja,2025-09-13,06:00,"ISKCON Temple, Sector 50",Varanasi,All-night Jagran with langar,matachowki.jpg,2025-07-15 07:38:55
1014,Bhajan Sandhya,Satsang,2025-09-01,16:30,"Shiv Mandir, Sector 8",Ahmedabad,Live bhajan by local artists,shivratri.jpg,2025-07-15 07:38:55
1015,Jagran Mahotsav,Satsang,2025-10-01,17:30,"Kalka Mandir, Sector 13",Chennai,Path and kirtan with spiritual leaders,sunderkand.jpg,2025-07-15 07:38:55
1016,Satsang Sabha,Pooja,2025-10-01,05:15,"Radha Krishna Mandir, Sector 24",Ahmedabad,Morning pooja followed by community lunch,sunderkand.jpg,2025-07-15 07:38:55
1017,Mata Ki Chowki,Satsang,2025-10-15,15:00,"Kalka Mandir, Sector 9",Mumbai,Special spiritual event with prasad,janmashtami.jpg,2025-07-15 07:38:55
1018,Satsang Sabha,Bhajan,2025-10-26,21:30,"Hanuman Mandir, Sector 44",Chennai,Path and kirtan with spiritual leaders,matachowki.jpg,2025-07-15 07:38:55
